url,pillar,slots_total,slots_fixed,slots_skipped,flags,action_taken
"/knowledge/hf0041","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0040","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0039","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0038","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0037","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0036","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0034","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0035","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0033","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0032","hf","4","3","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/hf0028","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0019","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0022","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0031","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0030","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0029","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0026","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0024","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0017","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0023","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0021","hf","4","2","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/hf0020","hf","4","3","1","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0025","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0018","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0027","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0007","hf","4","2","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/hf0003","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0004","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0002","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0005","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0016","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0013","hf","4","2","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0009","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0015","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0010","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0006","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0014","hf","4","3","0","UNRESOLVED|HOTLINKED","UNRESOLVED|HOTLINKED"
"/knowledge/hf0011","hf","4","3","0","HOTLINKED|UNRESOLVED","HOTLINKED|UNRESOLVED"
"/knowledge/hf0001","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0008","hf","4","4","0","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0012","hf","4","3","1","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0062","hf","4","1","3","","IMAGE_PASS"
"/knowledge/hf0061","hf","4","1","3","","IMAGE_PASS"
"/knowledge/hf0060","hf","4","1","3","","IMAGE_PASS"
"/knowledge/hf0059","hf","4","1","3","","IMAGE_PASS"
"/knowledge/hf0058","hf","4","1","3","","IMAGE_PASS"
"/knowledge/hf0057","hf","4","1","3","","IMAGE_PASS"
"/knowledge/hf0056","hf","4","2","2","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0055","hf","4","1","3","","IMAGE_PASS"
"/knowledge/hf0054","hf","4","2","2","HOTLINKED","IMAGE_PASS"
"/knowledge/hf0053","hf","4","1","3","","IMAGE_PASS"
"/knowledge/hf0052","hf","4","1","3","","IMAGE_PASS"
